administrative_unit,year,crime_registered,crime_detected
Lower Silesian,2020,69,68
Lower Silesian,2019,33,33
Lower Silesian,2018,59,55
Lower Silesian,2017,52,51
Lower Silesian,2016,53,53
Lower Silesian,2015,51,46
Lower Silesian,2014,41,40
Lower Silesian,2013,70,69
Lower Silesian,2012,62,58
Lower Silesian,2011,61,58
Lower Silesian,2010,63,61
Lower Silesian,2009,82,83
Lower Silesian,2008,88,86
Lower Silesian,2007,94,94
Lower Silesian,2006,84,84
Lower Silesian,2005,70,64
Lower Silesian,2004,107,105
Lower Silesian,2003,106,101
Lower Silesian,2002,119,109
Lower Silesian,2001,125,114
Lower Silesian,2000,134,123
Lower Silesian,1999,101,87
Kuyavian-Pomeranian,2020,27,25
Kuyavian-Pomeranian,2019,15,15
Kuyavian-Pomeranian,2018,22,22
Kuyavian-Pomeranian,2017,27,26
Kuyavian-Pomeranian,2016,23,22
Kuyavian-Pomeranian,2015,19,19
Kuyavian-Pomeranian,2014,20,20
Kuyavian-Pomeranian,2013,22,22
Kuyavian-Pomeranian,2012,12,12
Kuyavian-Pomeranian,2011,33,32
Kuyavian-Pomeranian,2010,29,28
Kuyavian-Pomeranian,2009,32,32
Kuyavian-Pomeranian,2008,26,27
Kuyavian-Pomeranian,2007,34,34
Kuyavian-Pomeranian,2006,34,34
Kuyavian-Pomeranian,2005,38,36
Kuyavian-Pomeranian,2004,25,25
Kuyavian-Pomeranian,2003,31,31
Kuyavian-Pomeranian,2002,30,29
Kuyavian-Pomeranian,2001,48,46
Kuyavian-Pomeranian,2000,47,42
Kuyavian-Pomeranian,1999,50,40
Lublin,2020,23,23
Lublin,2019,24,23
Lublin,2018,34,34
Lublin,2017,27,27
Lublin,2016,35,34
Lublin,2015,18,17
Lublin,2014,28,28
Lublin,2013,46,43
Lublin,2012,29,27
Lublin,2011,48,47
Lublin,2010,41,38
Lublin,2009,62,59
Lublin,2008,53,50
Lublin,2007,73,70
Lublin,2006,47,44
Lublin,2005,50,49
Lublin,2004,51,52
Lublin,2003,47,47
Lublin,2002,62,57
Lublin,2001,55,49
Lublin,2000,75,64
Lublin,1999,66,57
Lubusz,2020,26,26
Lubusz,2019,13,13
Lubusz,2018,25,23
Lubusz,2017,13,13
Lubusz,2016,28,27
Lubusz,2015,29,29
Lubusz,2014,28,28
Lubusz,2013,17,16
Lubusz,2012,20,19
Lubusz,2011,29,28
Lubusz,2010,27,27
Lubusz,2009,27,25
Lubusz,2008,22,20
Lubusz,2007,29,28
Lubusz,2006,24,24
Lubusz,2005,27,26
Lubusz,2004,33,28
Lubusz,2003,34,32
Lubusz,2002,46,44
Lubusz,2001,52,48
Lubusz,2000,62,54
Lubusz,1999,44,37
Lodzkie,2020,44,43
Lodzkie,2019,41,41
Lodzkie,2018,44,44
Lodzkie,2017,36,35
Lodzkie,2016,28,28
Lodzkie,2015,42,41
