jednostka_podzialu,rok,przestepstwa_stwierdzone,przestepstwa_wykryte,procent_wykrycia
woj. dolnośląskie,2020,69,68,99.0
woj. dolnośląskie,2019,33,33,100.0
woj. dolnośląskie,2018,59,55,93.0
woj. dolnośląskie,2017,52,51,98.0
woj. dolnośląskie,2016,53,53,100.0
woj. dolnośląskie,2015,51,46,90.0
woj. dolnośląskie,2014,41,40,98.0
woj. dolnośląskie,2013,70,69,99.0
woj. dolnośląskie,2012,62,58,94.0
woj. dolnośląskie,2011,61,58,95.0
woj. dolnośląskie,2010,63,61,97.0
woj. dolnośląskie,2009,82,83,101.0
woj. dolnośląskie,2008,88,86,98.0
woj. dolnośląskie,2007,94,94,100.0
woj. dolnośląskie,2006,84,84,100.0
woj. dolnośląskie,2005,70,64,91.0
woj. dolnośląskie,2004,107,105,98.0
woj. dolnośląskie,2003,106,101,95.0
woj. dolnośląskie,2002,119,109,92.0
woj. dolnośląskie,2001,125,114,91.0
woj. dolnośląskie,2000,134,123,92.0
woj. dolnośląskie,1999,101,87,86.0
woj. kujawsko-pomorskie,2020,27,25,93.0
woj. kujawsko-pomorskie,2019,15,15,100.0
woj. kujawsko-pomorskie,2018,22,22,100.0
woj. kujawsko-pomorskie,2017,27,26,96.0
woj. kujawsko-pomorskie,2016,23,22,96.0
woj. kujawsko-pomorskie,2015,19,19,100.0
woj. kujawsko-pomorskie,2014,20,20,100.0
woj. kujawsko-pomorskie,2013,22,22,100.0
woj. kujawsko-pomorskie,2012,12,12,100.0
woj. kujawsko-pomorskie,2011,33,32,97.0
woj. kujawsko-pomorskie,2010,29,28,97.0
woj. kujawsko-pomorskie,2009,32,32,100.0
woj. kujawsko-pomorskie,2008,26,27,104.0
woj. kujawsko-pomorskie,2007,34,34,100.0
woj. kujawsko-pomorskie,2006,34,34,100.0
woj. kujawsko-pomorskie,2005,38,36,95.0
woj. kujawsko-pomorskie,2004,25,25,100.0
woj. kujawsko-pomorskie,2003,31,31,100.0
woj. kujawsko-pomorskie,2002,30,29,97.0
woj. kujawsko-pomorskie,2001,48,46,96.0
woj. kujawsko-pomorskie,2000,47,42,89.0
woj. kujawsko-pomorskie,1999,50,40,80.0
woj. lubelskie,2020,23,23,100.0
woj. lubelskie,2019,24,23,96.0
woj. lubelskie,2018,34,34,100.0
woj. lubelskie,2017,27,27,100.0
woj. lubelskie,2016,35,34,97.0
woj. lubelskie,2015,18,17,94.0
woj. lubelskie,2014,28,28,100.0
woj. lubelskie,2013,46,43,93.0
woj. lubelskie,2012,29,27,93.0
woj. lubelskie,2011,48,47,98.0
woj. lubelskie,2010,41,38,93.0
woj. lubelskie,2009,62,59,95.0
woj. lubelskie,2008,53,50,94.0
woj. lubelskie,2007,73,70,96.0
woj. lubelskie,2006,47,44,94.0
woj. lubelskie,2005,50,49,98.0
woj. lubelskie,2004,51,52,102.0
woj. lubelskie,2003,47,47,100.0
woj. lubelskie,2002,62,57,92.0
woj. lubelskie,2001,55,49,89.0
woj. lubelskie,2000,75,64,85.0
woj. lubelskie,1999,66,57,86.0
woj. lubuskie,2020,26,26,100.0
woj. lubuskie,2019,13,13,100.0
woj. lubuskie,2018,25,23,92.0
woj. lubuskie,2017,13,13,100.0
woj. lubuskie,2016,28,27,96.0
woj. lubuskie,2015,29,29,100.0
woj. lubuskie,2014,28,28,100.0
woj. lubuskie,2013,17,16,94.0
woj. lubuskie,2012,20,19,95.0
woj. lubuskie,2011,29,28,97.0
woj. lubuskie,2010,27,27,100.0
woj. lubuskie,2009,27,25,93.0
woj. lubuskie,2008,22,20,91.0
woj. lubuskie,2007,29,28,97.0
woj. lubuskie,2006,24,24,100.0
woj. lubuskie,2005,27,26,96.0
woj. lubuskie,2004,33,28,85.0
woj. lubuskie,2003,34,32,94.0
woj. lubuskie,2002,46,44,96.0
woj. lubuskie,2001,52,48,92.0
woj. lubuskie,2000,62,54,87.0
woj. lubuskie,1999,44,37,84.0
woj. łódzkie,2020,44,43,98.0
woj. łódzkie,2019,41,41,100.0
woj. łódzkie,2018,44,44,100.0
woj. łódzkie,2017,36,35,97.0
woj. łódzkie,2016,28,28,100.0
woj. łódzkie,2015,42,41,98.0
woj. łódzkie,2014,50,50,100.0
woj. łódzkie,2013,51,50,98.0
woj. łódzkie,2012,43,43,100.0
woj. łódzkie,2011,58,57,98.0
woj. łódzkie,2010,64,60,94.0
woj. łódzkie,2009,56,54,96.0
woj. łódzkie,2008,75,71,95.0
woj. łódzkie,2007,87,86,99.0
woj. łódzkie,2006,81,78,96.0
woj. łódzkie,2005,88,87,99.0
woj. łódzkie,2004,98,95,97.0
woj. łódzkie,2003,98,95,97.0
woj. łódzkie,2002,123,112,91.0
woj. łódzkie,2001,119,106,89.0
woj. łódzkie,2000,108,95,88.0
woj. łódzkie,1999,64,57,89.0
woj. małopolskie,2020,36,35,97.0
woj. małopolskie,2019,33,32,97.0
woj. małopolskie,2018,29,29,100.0
woj. małopolskie,2017,23,22,96.0
woj. małopolskie,2016,17,15,88.0
woj. małopolskie,2015,40,39,98.0
woj. małopolskie,2014,42,39,93.0
woj. małopolskie,2013,38,35,92.0
woj. małopolskie,2012,49,45,92.0
woj. małopolskie,2011,40,40,100.0
woj. małopolskie,2010,42,34,81.0
