jednostka_podzialu,rok,przestepstwa_stwierdzone,przestepstwa_wykryte
woj. dolnośląskie,2020,69,68
woj. dolnośląskie,2019,33,33
woj. dolnośląskie,2018,59,55
woj. dolnośląskie,2017,52,51
woj. dolnośląskie,2016,53,53
woj. dolnośląskie,2015,51,46
woj. dolnośląskie,2014,41,40
woj. dolnośląskie,2013,70,69
woj. dolnośląskie,2012,62,58
woj. dolnośląskie,2011,61,58
woj. dolnośląskie,2010,63,61
woj. dolnośląskie,2009,82,83
woj. dolnośląskie,2008,88,86
woj. dolnośląskie,2007,94,94
woj. dolnośląskie,2006,84,84
woj. dolnośląskie,2005,70,64
woj. dolnośląskie,2004,107,105
woj. dolnośląskie,2003,106,101
woj. dolnośląskie,2002,119,109
woj. dolnośląskie,2001,125,114
woj. dolnośląskie,2000,134,123
woj. dolnośląskie,1999,101,87
woj. kujawsko-pomorskie,2020,27,25
woj. kujawsko-pomorskie,2019,15,15
woj. kujawsko-pomorskie,2018,22,22
woj. kujawsko-pomorskie,2017,27,26
woj. kujawsko-pomorskie,2016,23,22
woj. kujawsko-pomorskie,2015,19,19
woj. kujawsko-pomorskie,2014,20,20
woj. kujawsko-pomorskie,2013,22,22
woj. kujawsko-pomorskie,2012,12,12
woj. kujawsko-pomorskie,2011,33,32
woj. kujawsko-pomorskie,2010,29,28
woj. kujawsko-pomorskie,2009,32,32
woj. kujawsko-pomorskie,2008,26,27
woj. kujawsko-pomorskie,2007,34,34
woj. kujawsko-pomorskie,2006,34,34
woj. kujawsko-pomorskie,2005,38,36
woj. kujawsko-pomorskie,2004,25,25
woj. kujawsko-pomorskie,2003,31,31
woj. kujawsko-pomorskie,2002,30,29
woj. kujawsko-pomorskie,2001,48,46
woj. kujawsko-pomorskie,2000,47,42
woj. kujawsko-pomorskie,1999,50,40
woj. lubelskie,2020,23,23
woj. lubelskie,2019,24,23
woj. lubelskie,2018,34,34
woj. lubelskie,2017,27,27
woj. lubelskie,2016,35,34
woj. lubelskie,2015,18,17
woj. lubelskie,2014,28,28
woj. lubelskie,2013,46,43
woj. lubelskie,2012,29,27
woj. lubelskie,2011,48,47
woj. lubelskie,2010,41,38
woj. lubelskie,2009,62,59
woj. lubelskie,2008,53,50
woj. lubelskie,2007,73,70
woj. lubelskie,2006,47,44
woj. lubelskie,2005,50,49
woj. lubelskie,2004,51,52
woj. lubelskie,2003,47,47
woj. lubelskie,2002,62,57
woj. lubelskie,2001,55,49
woj. lubelskie,2000,75,64
woj. lubelskie,1999,66,57
woj. lubuskie,2020,26,26
woj. lubuskie,2019,13,13
woj. lubuskie,2018,25,23
woj. lubuskie,2017,13,13
woj. lubuskie,2016,28,27
woj. lubuskie,2015,29,29
woj. lubuskie,2014,28,28
woj. lubuskie,2013,17,16
woj. lubuskie,2012,20,19
woj. lubuskie,2011,29,28
woj. lubuskie,2010,27,27
woj. lubuskie,2009,27,25
woj. lubuskie,2008,22,20
woj. lubuskie,2007,29,28
woj. lubuskie,2006,24,24
woj. lubuskie,2005,27,26
woj. lubuskie,2004,33,28
woj. lubuskie,2003,34,32
woj. lubuskie,2002,46,44
woj. lubuskie,2001,52,48
woj. lubuskie,2000,62,54
woj. lubuskie,1999,44,37
woj. łódzkie,2020,44,43
woj. łódzkie,2019,41,41
woj. łódzkie,2018,44,44
woj. łódzkie,2017,36,35
woj. łódzkie,2016,28,28
woj. łódzkie,2015,42,41
woj. łódzkie,2014,50,50
woj. łódzkie,2013,51,50
woj. łódzkie,2012,43,43
woj. łódzkie,2011,58,57
woj. łódzkie,2010,64,60
woj. łódzkie,2009,56,54
woj. łódzkie,2008,75,71
woj. łódzkie,2007,87,86
woj. łódzkie,2006,81,78
woj. łódzkie,2005,88,87
woj. łódzkie,2004,98,95
woj. łódzkie,2003,98,95
woj. łódzkie,2002,123,112
woj. łódzkie,2001,119,106
woj. łódzkie,2000,108,95
woj. łódzkie,1999,64,57
woj. małopolskie,2020,36,35
woj. małopolskie,2019,33,32
woj. małopolskie,2018,29,29
woj. małopolskie,2017,23,22
woj. małopolskie,2016,17,15
woj. małopolskie,2015,40,39
woj. małopolskie,2014,42,39
woj. małopolskie,2013,38,35
woj. małopolskie,2012,49,45
woj. małopolskie,2011,40,40
woj. małopolskie,2010,42,34
woj. małopolskie,2009,53,42
woj. małopolskie,2008,49,49
woj. małopolskie,2007,47,42
woj. małopolskie,2006,46,41
woj. małopolskie,2005,44,44
woj. małopolskie,2004,64,59
woj. małopolskie,2003,46,43
woj. małopolskie,2002,71,64
woj. małopolskie,2001,83,76
woj. małopolskie,2000,59,53
woj. małopolskie,1999,45,39
woj. mazowieckie (KWP z/s w Radomiu i KSP Warszawa),2020,107,105
woj. mazowieckie (KWP z/s w Radomiu i KSP Warszawa),2019,70,66
woj. mazowieckie (KWP z/s w Radomiu i KSP Warszawa),2018,80,78
woj. mazowieckie (KWP z/s w Radomiu i KSP Warszawa),2017,92,88
woj. mazowieckie (KWP z/s w Radomiu i KSP Warszawa),2016,68,62
woj. mazowieckie (KWP z/s w Radomiu i KSP Warszawa),2015,63,54
woj. mazowieckie (KWP z/s w Radomiu i KSP Warszawa),2014,74,68
woj. mazowieckie (KWP z/s w Radomiu i KSP Warszawa),2013,70,64
woj. mazowieckie (KWP z/s w Radomiu i KSP Warszawa),2012,90,81
woj. mazowieckie (KWP z/s w Radomiu i KSP Warszawa),2011,100,90
woj. mazowieckie (KWP z/s w Radomiu i KSP Warszawa),2010,106,96
woj. mazowieckie (KWP z/s w Radomiu i KSP Warszawa),2009,119,110
woj. mazowieckie (KWP z/s w Radomiu i KSP Warszawa),2008,123,111
woj. mazowieckie (KWP z/s w Radomiu i KSP Warszawa),2007,155,143
woj. mazowieckie (KWP z/s w Radomiu i KSP Warszawa),2006,126,106
woj. mazowieckie (KWP z/s w Radomiu i KSP Warszawa),2005,154,127
woj. mazowieckie (KWP z/s w Radomiu i KSP Warszawa),2004,147,113
woj. mazowieckie (KWP z/s w Radomiu i KSP Warszawa),2003,193,152
woj. mazowieckie (KWP z/s w Radomiu i KSP Warszawa),2002,182,147
woj. mazowieckie (KWP z/s w Radomiu i KSP Warszawa),2001,233,172
woj. mazowieckie (KWP z/s w Radomiu i KSP Warszawa),2000,204,166
woj. mazowieckie (KWP z/s w Radomiu i KSP Warszawa),1999,172,124
woj. opolskie,2020,8,8
woj. opolskie,2019,13,13
woj. opolskie,2018,12,10
woj. opolskie,2017,9,9
woj. opolskie,2016,8,8
woj. opolskie,2015,15,13
woj. opolskie,2014,9,8
woj. opolskie,2013,10,10
woj. opolskie,2012,17,16
woj. opolskie,2011,10,10
woj. opolskie,2010,17,17
woj. opolskie,2009,14,13
woj. opolskie,2008,14,13
woj. opolskie,2007,15,15
woj. opolskie,2006,16,16
woj. opolskie,2005,13,12
woj. opolskie,2004,13,12
woj. opolskie,2003,19,18
woj. opolskie,2002,19,19
woj. opolskie,2001,21,20
woj. opolskie,2000,23,24
woj. opolskie,1999,23,21
woj. podkarpackie,2020,11,11
woj. podkarpackie,2019,22,21
woj. podkarpackie,2018,16,16
woj. podkarpackie,2017,14,15
woj. podkarpackie,2016,15,15
woj. podkarpackie,2015,6,6
woj. podkarpackie,2014,25,24
woj. podkarpackie,2013,28,28
woj. podkarpackie,2012,16,15
woj. podkarpackie,2011,14,14
woj. podkarpackie,2010,14,14
woj. podkarpackie,2009,26,19
woj. podkarpackie,2008,26,26
woj. podkarpackie,2007,12,12
woj. podkarpackie,2006,26,25
woj. podkarpackie,2005,21,19
woj. podkarpackie,2004,19,19
woj. podkarpackie,2003,27,24
woj. podkarpackie,2002,26,25
woj. podkarpackie,2001,38,31
woj. podkarpackie,2000,37,32
woj. podkarpackie,1999,25,21
woj. podlaskie,2020,15,15
woj. podlaskie,2019,13,13
woj. podlaskie,2018,14,14
woj. podlaskie,2017,15,15
woj. podlaskie,2016,11,11
woj. podlaskie,2015,17,16
woj. podlaskie,2014,14,14
woj. podlaskie,2013,24,24
woj. podlaskie,2012,16,16
woj. podlaskie,2011,14,13
woj. podlaskie,2010,16,15
woj. podlaskie,2009,14,14
woj. podlaskie,2008,18,17
woj. podlaskie,2007,26,26
woj. podlaskie,2006,34,32
woj. podlaskie,2005,25,26
woj. podlaskie,2004,36,33
woj. podlaskie,2003,32,27
woj. podlaskie,2002,62,55
woj. podlaskie,2001,45,40
woj. podlaskie,2000,49,48
woj. podlaskie,1999,37,36
woj. pomorskie,2020,52,51
woj. pomorskie,2019,41,39
woj. pomorskie,2018,27,27
woj. pomorskie,2017,46,45
woj. pomorskie,2016,21,20
woj. pomorskie,2015,28,29
woj. pomorskie,2014,38,35
woj. pomorskie,2013,33,30
woj. pomorskie,2012,27,24
woj. pomorskie,2011,40,38
woj. pomorskie,2010,43,41
woj. pomorskie,2009,32,33
woj. pomorskie,2008,46,46
woj. pomorskie,2007,38,36
woj. pomorskie,2006,42,40
woj. pomorskie,2005,44,35
woj. pomorskie,2004,73,69
woj. pomorskie,2003,67,64
woj. pomorskie,2002,52,50
woj. pomorskie,2001,64,60
woj. pomorskie,2000,83,65
woj. pomorskie,1999,70,58
woj. śląskie,2020,82,83
woj. śląskie,2019,71,70
woj. śląskie,2018,63,60
woj. śląskie,2017,51,48
woj. śląskie,2016,69,68
woj. śląskie,2015,77,74
woj. śląskie,2014,67,66
woj. śląskie,2013,69,68
woj. śląskie,2012,78,76
woj. śląskie,2011,86,88
woj. śląskie,2010,90,81
woj. śląskie,2009,99,96
woj. śląskie,2008,89,89
woj. śląskie,2007,101,103
woj. śląskie,2006,119,108
woj. śląskie,2005,107,102
woj. śląskie,2004,138,132
woj. śląskie,2003,116,112
woj. śląskie,2002,131,122
woj. śląskie,2001,188,179
woj. śląskie,2000,157,151
woj. śląskie,1999,145,136
woj. świętokrzyskie,2020,19,19
woj. świętokrzyskie,2019,16,16
woj. świętokrzyskie,2018,26,25
woj. świętokrzyskie,2017,16,16
woj. świętokrzyskie,2016,10,10
woj. świętokrzyskie,2015,11,11
woj. świętokrzyskie,2014,4,5
woj. świętokrzyskie,2013,13,12
woj. świętokrzyskie,2012,14,14
woj. świętokrzyskie,2011,29,30
woj. świętokrzyskie,2010,21,21
woj. świętokrzyskie,2009,19,18
woj. świętokrzyskie,2008,23,21
woj. świętokrzyskie,2007,19,18
woj. świętokrzyskie,2006,20,18
woj. świętokrzyskie,2005,24,20
woj. świętokrzyskie,2004,24,22
woj. świętokrzyskie,2003,27,22
woj. świętokrzyskie,2002,38,33
woj. świętokrzyskie,2001,38,38
woj. świętokrzyskie,2000,46,39
woj. świętokrzyskie,1999,32,27
woj. warmińsko-mazurskie,2020,24,24
woj. warmińsko-mazurskie,2019,23,23
woj. warmińsko-mazurskie,2018,17,14
woj. warmińsko-mazurskie,2017,25,25
woj. warmińsko-mazurskie,2016,22,22
woj. warmińsko-mazurskie,2015,19,19
woj. warmińsko-mazurskie,2014,18,17
woj. warmińsko-mazurskie,2013,18,17
woj. warmińsko-mazurskie,2012,26,26
woj. warmińsko-mazurskie,2011,21,18
woj. warmińsko-mazurskie,2010,25,26
woj. warmińsko-mazurskie,2009,40,39
woj. warmińsko-mazurskie,2008,29,25
woj. warmińsko-mazurskie,2007,27,27
woj. warmińsko-mazurskie,2006,44,42
woj. warmińsko-mazurskie,2005,41,41
woj. warmińsko-mazurskie,2004,36,37
woj. warmińsko-mazurskie,2003,53,47
woj. warmińsko-mazurskie,2002,73,71
woj. warmińsko-mazurskie,2001,60,55
woj. warmińsko-mazurskie,2000,52,46
woj. warmińsko-mazurskie,1999,53,52
woj. wielkopolskie,2020,33,30
woj. wielkopolskie,2019,44,42
woj. wielkopolskie,2018,36,34
woj. wielkopolskie,2017,29,28
woj. wielkopolskie,2016,21,20
woj. wielkopolskie,2015,23,22
woj. wielkopolskie,2014,33,32
woj. wielkopolskie,2013,31,28
woj. wielkopolskie,2012,39,40
woj. wielkopolskie,2011,42,41
woj. wielkopolskie,2010,36,34
woj. wielkopolskie,2009,47,43
woj. wielkopolskie,2008,39,34
woj. wielkopolskie,2007,42,37
woj. wielkopolskie,2006,42,40
woj. wielkopolskie,2005,49,47
woj. wielkopolskie,2004,60,59
woj. wielkopolskie,2003,81,67
woj. wielkopolskie,2002,76,71
woj. wielkopolskie,2001,59,52
woj. wielkopolskie,2000,53,44
woj. wielkopolskie,1999,44,40
woj. zachodniopomorskie,2020,65,65
woj. zachodniopomorskie,2019,52,52
woj. zachodniopomorskie,2018,27,26
woj. zachodniopomorskie,2017,38,38
woj. zachodniopomorskie,2016,27,25
woj. zachodniopomorskie,2015,37,36
woj. zachodniopomorskie,2014,35,33
woj. zachodniopomorskie,2013,34,33
woj. zachodniopomorskie,2012,44,45
woj. zachodniopomorskie,2011,37,33
woj. zachodniopomorskie,2010,46,41
woj. zachodniopomorskie,2009,41,41
woj. zachodniopomorskie,2008,39,35
woj. zachodniopomorskie,2007,49,44
woj. zachodniopomorskie,2006,31,30
woj. zachodniopomorskie,2005,42,36
woj. zachodniopomorskie,2004,56,53
woj. zachodniopomorskie,2003,62,52
woj. zachodniopomorskie,2002,78,73
woj. zachodniopomorskie,2001,97,85
woj. zachodniopomorskie,2000,80,77
woj. zachodniopomorskie,1999,77,71
teren działania KWP z/s w Radomiu,2020,38,37
teren działania KWP z/s w Radomiu,2019,26,26
teren działania KWP z/s w Radomiu,2018,41,41
teren działania KWP z/s w Radomiu,2017,46,44
teren działania KWP z/s w Radomiu,2016,22,22
teren działania KWP z/s w Radomiu,2015,28,27
teren działania KWP z/s w Radomiu,2014,26,25
teren działania KWP z/s w Radomiu,2013,26,23
teren działania KWP z/s w Radomiu,2012,30,27
teren działania KWP z/s w Radomiu,2011,35,35
teren działania KWP z/s w Radomiu,2010,38,33
teren działania KWP z/s w Radomiu,2009,46,41
teren działania KWP z/s w Radomiu,2008,49,46
teren działania KWP z/s w Radomiu,2007,59,55
teren działania KWP z/s w Radomiu,2006,38,36
teren działania KWP z/s w Radomiu,2005,56,54
teren działania KWP z/s w Radomiu,2004,48,40
teren działania KWP z/s w Radomiu,2003,65,57
teren działania KWP z/s w Radomiu,2002,77,71
teren działania KWP z/s w Radomiu,2001,90,73
teren działania KWP z/s w Radomiu,2000,76,67
teren działania KWP z/s w Radomiu,1999,92,70
teren działania KSP Warszawa,2020,69,68
teren działania KSP Warszawa,2019,44,40
teren działania KSP Warszawa,2018,39,37
teren działania KSP Warszawa,2017,46,44
teren działania KSP Warszawa,2016,46,40
teren działania KSP Warszawa,2015,35,27
teren działania KSP Warszawa,2014,48,43
teren działania KSP Warszawa,2013,44,41
teren działania KSP Warszawa,2012,60,54
teren działania KSP Warszawa,2011,65,55
teren działania KSP Warszawa,2010,68,63
teren działania KSP Warszawa,2009,73,69
teren działania KSP Warszawa,2008,74,65
teren działania KSP Warszawa,2007,96,88
teren działania KSP Warszawa,2006,88,70
teren działania KSP Warszawa,2005,98,73
teren działania KSP Warszawa,2004,99,73
teren działania KSP Warszawa,2003,128,95
teren działania KSP Warszawa,2002,105,76
teren działania KSP Warszawa,2001,143,99
teren działania KSP Warszawa,2000,128,99
teren działania KSP Warszawa,1999,80,54
