wojewodztwo,populacja,obszar_km2
woj. dolnośląskie,2901225,19947
woj. kujawsko-pomorskie,2077775,17972
woj. lubelskie,2117619,25122
woj. lubuskie,1014548,13988
woj. łódzkie,2466322,18219
woj. małopolskie,3400577,15183
woj. mazowieckie,5403412,35558
woj. opolskie,986506,9412
woj. podkarpackie,2129015,17846
woj. podlaskie,1181533,20187
woj. pomorskie,2333523,18321
woj. śląskie,4533565,12333
woj. świętokrzyskie,1241546,11711
woj. warmińsko-mazurskie,1428983,24173
woj. wielkopolskie,3493969,29826
woj. zachodniopomorskie,1701030,22897
